PMID,Title,Authors,Journal,Year,Month,Day
35312555,Residential Radon and Small Cell Lung Cancer. Final Results of the Small Cell Study.,"Rodríguez-Martínez Á,Ruano-Ravina A,Torres-Durán M,Provencio M,Parente-Lamelas I,Vidal-García I,Martínez C,Hernández-Hernández J,Abdulkader-Nallib I,Castro-Añón O,Varela-Lema L,Piñeiro-Lamas M,Fidalgo PS,Fernández-Villar A,Barros-Dios J,Pérez-Ríos M",Archivos de bronconeumologia,2022,7,
35295139,Aryl Hydrocarbon Receptor Signaling Synergizes with TLR/NF-κB-Signaling for Induction of IL-22 Through Canonical and Non-Canonical AhR Pathways.,"Ishihara Y,Kado SY,Bein KJ,He Y,Pouraryan AA,Urban A,Haarmann-Stemmann T,Sweeney C,Vogel CFA",Frontiers in toxicology,2021,,
35223563,Ambient Air Quality and General Health Outcomes in Nigde (Turkey) between 2011 and 2017.,"Kara E,Özdilek HG,Kara EE,Balcandı F,Mestav B",Iranian journal of public health,2021,10,
35199549,Men´s reproductive alterations caused by bisphenol A and its analogues: a review.,"Jambor T,Knížatová N,Lukáč N",Physiological research,2021,12,30
35127502,Deferoxamine Counteracts Cisplatin Resistance in A549 Lung Adenocarcinoma Cells by Increasing Vulnerability to Glutamine Deprivation-Induced Cell Death.,"Liu WJ,Pan PY,Sun Y,Wang JB,Zhou H,Xie X,Duan ZY,Dong HY,Chen WN,Zhang LD,Wang C",Frontiers in oncology,2021,,
35119056,[Radon exposure: also in this case it is better to open the window].,"Del Gaudio M,Lauro A,Marino P",Igiene e sanita pubblica,2021,,
35076421,Ecological meta-analytic study of kidney disease in Italian contaminated sites.,"Benedetti M,Minichilli F,Soggiu ME,Manno V,Fazzo L",Annali dell'Istituto superiore di sanita,2021,,
35058178,High-throughput cell-based assays for identifying antagonists of multiple smoking-associated human nicotinic acetylcholine receptor subtypes.,"Kassner M,Eaton JB,Tang N,Petit JL,Meurice N,Yin HH,Whiteaker P",SLAS discovery : advancing life sciences R & D,2022,1,
35057933,A NIR fluorescent sensor based on thiazoline-isophorone with low cytotoxicity in living cells for Hg<sup>2+</sup> detection through ICT associated hydrogen bonding effect.,"Erdemir S,Oguz M,Malkondu S",Analytica chimica acta,2022,2,1
35055330,"The Interaction among Microbiota, Epigenetic Regulation, and Air Pollutants in Disease Prevention.","Pulliero A,Traversi D,Franchitti E,Barchitta M,Izzotti A,Agodi A",Journal of personalized medicine,2021,12,29
35051050,"The Emission of VOCs and CO from Heated Tobacco Products, Electronic Cigarettes, and Conventional Cigarettes, and Their Health Risk.","Lu F,Yu M,Chen C,Liu L,Zhao P,Shen B,Sun R",Toxics,2021,12,28
35049883,Sargachromenol Isolated from <i>Sargassum horneri</i> Inhibits Particulate Matter-Induced Inflammation in Macrophages through Toll-like Receptor-Mediated Cell Signaling Pathways.,"Nagahawatta DP,Kim HS,Jee YH,Jayawardena TU,Ahn G,Namgung J,Yeo IK,Sanjeewa KKA,Jeon YJ",Marine drugs,2021,12,24
35047517,Women's COPD.,"Zysman M,Raherison-Semjen C",Frontiers in medicine,2021,,
35047515,BCNet: A Novel Network for Blood Cell Classification.,"Zhu Z,Lu S,Wang SH,Górriz JM,Zhang YD",Frontiers in cell and developmental biology,2021,,
35047500,"Altered BMP2/4 Signaling in Stem Cells and Their Niche: Different Cancers but Similar Mechanisms, the Example of Myeloid Leukemia and Breast Cancer.","Guyot B,Lefort S,Voeltzel T,Pécheur EI,Maguer-Satta V",Frontiers in cell and developmental biology,2021,,
35042016,One day at a time.,Kattner AA,Biomedical journal,2021,12,
35035350,Secondhand Smoke Exposure in Lao People's Democratic Republic: Results From the 2015 National Adult Tobacco Survey.,"Kulkarni SV,Xangsayarath P,Douangvichith D,Siengsounthone L,Phandouangsy K,Tran LT,Le PH,Bui TC",International journal of public health,2021,,
35011060,"Essentiality of Trace Elements in Pregnancy, Fertility, and Gynecologic Cancers-A State-of-the-Art Review.","Dring JC,Forma A,Chilimoniuk Z,Dobosz M,Teresiński G,Buszewicz G,Flieger J,Cywka T,Januszewski J,Baj J",Nutrients,2021,12,31
35010632,"Dietary Acid Load, Serum Polychlorinated Biphenyl Levels, and Mortality Following Breast Cancer in the Long Island Breast Cancer Study Project.","Chronister BNC,Wu T,Santella RM,Neugut AI,Wolff MS,Chen J,Teitelbaum SL,Parada H",International journal of environmental research and public health,2021,12,30
35008850,Telomere Shortening and Its Association with Cell Dysfunction in Lung Diseases.,"Ruiz A,Flores-Gonzalez J,Buendia-Roldan I,Chavez-Galan L",International journal of molecular sciences,2021,12,31
35007803,Particulate matter in a motorcycle-dominated urban area: Source apportionment and cancer risk of lung deposited surface area (LDSA) concentrations.,"Chang PK,Griffith SM,Chuang HC,Chuang KJ,Wang YH,Chang KE,Hsiao TC",Journal of hazardous materials,2022,4,5
35006901,A Unique Multifunctional Luminescent Probe for Self-Monitoring Photodynamic Therapy by Detecting H<sub>2</sub>S in Cancer Cells.,"Yuan J,Ren TB,Xu S,Wang CJ,Zhang XB,Yuan L",ACS applied bio materials,2021,8,16
35002395,"Water quality index, <i>Labeo rohita</i>, and <i>Eichhornia crassipes</i>: Suitable bio-indicators of river water pollution.","Tabrez S,Zughaibi TA,Javed M",Saudi journal of biological sciences,2022,1,
35000923,АIR POLLUTION EMISSIONS ARE ASSOCIATED WITH INCIDENCE AND PREVALENCE OF BREAST CANCER IN THE AKTOBE REGION OF WESTERN KAZAKHSTAN.,"Batyrova G,Umarova G,Kononets V,Salmagambetova G,Zinalieva A,Saparbayev S",Georgian medical news,2021,12,
34999865,Never-smokers and the fraction of breast cancer attributable to second-hand smoke from parents during childhood: the Norwegian Women and Cancer Study 1991-2018.,"Gram IT,Wiik AB,Lund E,Licaj I,Braaten T",International journal of epidemiology,2022,1,6
34994691,Croatia: Health System Review.,"Dzakula A,Vočanec D,Banadinovic M,Vajagic M,Lončarek K,Lukačevic Lovrenčic I,Radin D,Rechel B",Health systems in transition,2021,11,
34991259,Identification of key volatile organic compounds in aircraft cabins and associated inhalation health risks.,"Yin Y,He J,Zhao L,Pei J,Yang X,Sun Y,Cui X,Lin CH,Wei D,Chen Q",Environment international,2022,1,
34991250,Unraveling the differential impact of PAHs and dioxin-like compounds on AKR1C3 reveals the EGFR extracellular domain as a critical determinant of the AHR response.,"Vogeley C,Sondermann NC,Woeste S,Momin AA,Gilardino V,Hartung F,Heinen M,Maaß SK,Mescher M,Pollet M,Rolfes KM,Vogel CFA,Rossi A,Lang D,Arold ST,Nakamura M,Haarmann-Stemmann T",Environment international,2022,1,
34991242,Occupational exposures to particulate matter and PM<sub>2.5</sub>-associated polycyclic aromatic hydrocarbons at the Agbogbloshie waste recycling site in Ghana.,"Kwarteng L,Devasurendra AM,Laskaris Z,Arko-Mensah J,Amoabeng Nti AA,Takyi S,Acquah AA,Dwomoh D,Basu N,Robins T,Fobil JN,Batterman S",Environment international,2022,1,
34990979,"Design, synthesis and biological evaluation of novel 1,3,4,9-tetrahydropyrano[3,4-b]indoles as potential treatment of triple negative breast cancer by suppressing PI3K/AKT/mTOR pathway.","Qin J,Sun X,Ma Y,Cheng Y,Ma Q,Jing W,Qu S,Liu L",Bioorganic & medicinal chemistry,2022,2,1
34990957,Plasmonically-enhanced competitive assay for ultrasensitive and multiplexed detection of small molecules.,"Wang Z,Zhou Q,Seth A,Kolla S,Luan J,Jiang Q,Rathi P,Gupta P,Morrissey JJ,Naik RR,Singamaneni S",Biosensors & bioelectronics,2022,3,15
34985839,"Human health risk assessment of lead, cadmium, and mercury co-exposure from agricultural soils in the Tuzla Canton (Bosnia and Herzegovina).","Husejnović MŠ,Janković S,Nikolić D,Antonijević B",Arhiv za higijenu rada i toksikologiju,2021,12,30
34984021,Colorectal Cancer Incidence and Mortality Trends and Analysis of Risk Factors in China from 2005 to 2015.,"Sun C,Liu Y,Huang Y,Li B,Rang W",International journal of general medicine,2021,,
34980717,Vitamin B1 Intake and the Risk of Colorectal Cancer: a Systematic Review of Observational Studies.,"Liu Y,Xiong WJ,Wang L,Rang WQ,Yu C",Journal of nutritional science and vitaminology,2021,,
34977412,"Longevity, cellular senescence and the gut microbiome: lessons to be learned from crocodiles.","Siddiqui R,Maciver S,Elmoselhi A,Soares NC,Khan NA",Heliyon,2021,12,
34974070,Socioecological approach for identifying the determinants of objectively measured physical activity: A prospective study of the UK Biobank.,"Choi J,Park J,Kim JE,Kang D,Cho SI,Chung IJ,Shin A,Lee M,Choi JY",Preventive medicine,2022,2,
34974025,Single PFAS and PFAS mixtures affect nuclear receptor- and oxidative stress-related pathways in precision-cut liver slices of Atlantic cod (Gadus morhua).,"Dale K,Yadetie F,Horvli T,Zhang X,Frøysa HG,Karlsen OA,Goksøyr A",The Science of the total environment,2022,3,25
34973941,Multi-exposure human health risks assessment of trihalomethanes in drinking water of Egypt.,"Mishaqa EI,Radwan EK,Ibrahim MBM,Hegazy TA,Ibrahim MS",Environmental research,2022,5,1
34973755,Chemo-enzymatic functionalized sustainable cellulosic membranes: Impact of regional selectivity on ions capture and antifouling behavior.,"Asad M,Asiri AM,Azum N,Monti S,Karim Z",Carbohydrate polymers,2022,2,15
34973556,A bionic cellulose nanofiber-based nanocage wound dressing for NIR-triggered multiple synergistic therapy of tumors and infected wounds.,"Chen R,Zhao C,Chen Z,Shi X,Zhu H,Bu Q,Wang L,Wang C,He H",Biomaterials,2022,2,
34973253,"Concentration, source apportionment and potential carcinogenic risks of polycyclic aromatic hydrocarbons (PAHs) in roadside soils.","Shukla S,Khan R,Bhattacharya P,Devanesan S,AlSalhi MS",Chemosphere,2022,4,
34969446,Exposure to perfluorooctane sulfonate reduced cell viability and insulin release capacity of β cells.,"Qin W,Ren X,Zhao L,Guo L",Journal of environmental sciences (China),2022,5,
40145078,Burden of cancer attributable to air pollution in Japan in 2015.,"Hori M,Katanoda K,Ueda K,Nakaya T,Saito E,Abe SK,Hirabayashi M,Matsuda T",GHM open,2021,12,31
34968493,Per- and polyfluoroalkyl substances target and alter human prostate stem-progenitor cells.,"Hu WY,Lu R,Hu DP,Imir OB,Zuo Q,Moline D,Afradiasbagharani P,Liu L,Lowe S,Birch L,Griend DJV,Madak-Erdogan Z,Prins GS",Biochemical pharmacology,2022,3,
34968429,"Arsenic, tobacco use, and lung cancer: An occupational cohort with 27 follow-up years.","Su Z,Wei MN,Jia XH,Fan YG,Zhao FH,Zhou QH,Taylor PR,Qiao YL",Environmental research,2022,4,15
34968048,Dual-Targeting into the Mitochondria of Cancer Cells for Ratiometric Investigation of the Dynamic Fluctuation of Sulfur Dioxide and Formaldehyde with Two-Photon Integrated Semiconducting Polymer Dots.,"Zhang Q,Zhang Z,Hu X,Sun J,Gao F",ACS applied materials & interfaces,2022,1,12
34966357,Six Air Pollutants Associated With Increased Risk of Thyroid Nodules: A Study of 4.9 Million Chinese Adults.,"Zhang Y,Wang K,Qin W,Jin C,Song Y,Jia P,Wang S,Song Y,Ning Y,Li L",Frontiers in endocrinology,2021,,
34963519,Identification of unknown disinfection byproducts in drinking water produced from Taihu Lake source water.,"Li J,Zhang H,Wang J,Yu Z,Li H,Yang M",Journal of environmental sciences (China),2022,3,
34962372,"Highly Luminescent, Stable, and Red-Emitting CsMg<i><sub>x</sub></i>Pb<sub>1-<i>x</i></sub>I<sub>3</sub> Quantum Dots for Dual-Modal Imaging-Guided Photodynamic Therapy and Photocatalytic Activity.","Getachew G,Korupalli C,Rasal AS,Dirersa WB,Fahmi MZ,Chang JY",ACS applied materials & interfaces,2022,1,12
34961389,A Novel Model of Tobacco Smoke-Mediated Aortic Injury.,"Azarbal AF,Repella T,Carlson E,Manalo EC,Palanuk B,Vatankhah N,Zientek K,Keene DR,Zhang W,Abraham CZ,Moneta GL,Landry GJ,Alkayed NJ,Sakai LY",Vascular and endovascular surgery,2022,4,
34959196,Preschool children health impacts from indoor exposure to PM<sub>2.5</sub> and metals.,"Mainka A,Fantke P",Environment international,2022,2,
34955233,Preparation and evaluation of novel bio-based Bis-GMA-free dental composites with low estrogenic activity.,"Sun Y,Zhou Z,Jiang H,Duan Y,Li J,Liu X,Hong L,Zhao C",Dental materials : official publication of the Academy of Dental Materials,2022,2,
34955192,"Atmospheric particle-bound polycyclic aromatic compounds over two distinct sites in Pakistan: Characteristics, sources and health risk assessment.","Maharjan L,Kang S,Tripathee L,Gul C,Zheng H,Li Q,Chen P,Rai M,Santos E",Journal of environmental sciences (China),2022,2,
34955022,Profiling Cystathionine β/γ-Lyase in Complex Biosamples Using Novel Activatable Fluorogens.,"Jia Y,Wang Y,Zhang Y,Wang J,Pei Y,Wang Z,Li P,Han K",Analytical chemistry,2022,1,18
34954188,An integrated approach to quantify ecological and human health risks of soil heavy metal contamination around coal mining area.,"Zerizghi T,Guo Q,Tian L,Wei R,Zhao C",The Science of the total environment,2022,3,25
34953944,The role of Fas-FasL-FADD signaling pathway in arsenic-mediated neuronal apoptosis in vivo and in vitro.,"Sun H,Yang Y,Gu M,Li Y,Jiao Z,Lu C,Li B,Jiang Y,Jiang L,Chu F,Yang W,Sun D,Gao Y",Toxicology letters,2022,3,1
34953880,Enhanced removal of radioactive iodine anions from wastewater using modified bentonite: Experimental and theoretical study.,"Yang J,Tai W,Wu F,Shi K,Jia T,Su Y,Liu T,Mocilac P,Hou X,Chen X",Chemosphere,2022,4,
34953837,Potential years of life lost due to PM<sub>2.5</sub>-bound toxic metal exposure: Spatial patterns across 60 cities in China.,"Liu J,Cao H,Zhang Y,Chen H",The Science of the total environment,2022,3,15
34953824,Deriving convincing human health ambient water quality criteria for benzo[a]pyrene and providing basis for the water quality management: The impacts of national bioaccumulation factors and probabilistic modeling.,"Wang X,Zhang X,Wang X,Liang W,Wang J,Niu L,Zhao X,Wu F",The Science of the total environment,2022,3,25
34952931,The CBS-H<sub>2</sub>S axis promotes liver metastasis of colon cancer by upregulating VEGF through AP-1 activation.,"Guo S,Li J,Huang Z,Yue T,Zhu J,Wang X,Liu Y,Wang P,Chen S",British journal of cancer,2022,4,
34949975,Factors related to caregivers' risk perception of secondhand smoke exposure on children's health.,"Continente X,Rodríguez A,Pérez-Ríos M,Schiaffino A,Fernández E,López MJ",Tobacco induced diseases,2021,,
34949202,Near-infrared light-triggered nano-prodrug for cancer gas therapy.,"Liu R,Peng Y,Lu L,Peng S,Chen T,Zhan M",Journal of nanobiotechnology,2021,12,23
34948771,Characterizing Trends in Lung Cancer Mortality Attributable to Airborne Environmental Carcinogens.,"Veith M,McAlarney D,Xue X,Rohan TE,Hosgood HD",International journal of environmental research and public health,2021,12,14
34948323,Aroylhydrazone Diorganotin Complexes Causes DNA Damage and Apoptotic Cell Death: From Chemical Synthesis to Biochemical Effects.,"Jiang W,Tan Y,Peng Y",International journal of molecular sciences,2021,12,16
34948252,Influence of Benzo(a)pyrene on Different Epigenetic Processes.,"Bukowska B,Sicińska P",International journal of molecular sciences,2021,12,15
34947759,"MXenes-A New Class of Two-Dimensional Materials: Structure, Properties and Potential Applications.","Pogorielov M,Smyrnova K,Kyrylenko S,Gogotsi O,Zahorodna V,Pogrebnjak A","Nanomaterials (Basel, Switzerland)",2021,12,16
34942288,PM<sub>2.5</sub> induces the distant metastasis of lung adenocarcinoma via promoting the stem cell properties of cancer cells.,"Pan J,Xue Y,Li S,Wang L,Mei J,Ni D,Jiang J,Zhang M,Yi S,Zhang R,Ma Y,Liu Y,Liu Y","Environmental pollution (Barking, Essex : 1987)",2022,3,1
34941762,"Potentially Toxic Element Levels in Atmospheric Particulates and Health Risk Estimation around Industrial Areas of Maros, Indonesia.","Rauf AU,Mallongi A,Lee K,Daud A,Hatta M,Al Madhoun W,Astuti RDP",Toxics,2021,12,2
34941759,High Thyroid Cancer Incidence Rate in a Community near a Landfill: A Descriptive Epidemiological Assessment.,"van Gerwen M,Gold B,Alsen M,Khan MN,Petrick L,Genden E",Toxics,2021,12,1
34938740,Exploration of Lung Cancer-Related Genetic Factors <i>via</i> Mendelian Randomization Method Based on Genomic and Transcriptomic Summarized Data.,"Cheng N,Cui X,Chen C,Li C,Huang J",Frontiers in cell and developmental biology,2021,,
34935166,Advances in endocrine toxicity of nanomaterials and mechanism in hormone secretion disorders.,"Yao Y,Tang M",Journal of applied toxicology : JAT,2022,7,
34934636,Impact of COVID-19 acute respiratory disease on the risk factors attributed to cancer patients.,"Lak E,Mohammadi MJ,Yousefi H",Toxicology reports,2022,,
34933256,Determination of tipping point in course of PM<sub>2.5</sub> organic extracts-induced malignant transformation by dynamic network biomarkers.,"Chen S,Li D,Yu D,Li M,Ye L,Jiang Y,Tang S,Zhang R,Xu C,Jiang S,Wang Z,Aschner M,Zheng Y,Chen L,Chen W",Journal of hazardous materials,2022,3,15
34933246,Tools for a circular economy: Assessing waste taxation in a CGE multi-pollutant framework.,"Freire-González J,Martinez-Sanchez V,Puig-Ventosa I","Waste management (New York, N.Y.)",2022,2,15
34933236,The impact of Long-Term PM<sub>2.5</sub> constituents and their sources on specific causes of death in a US Medicare cohort.,"Kazemiparkouhi F,Honda T,Eum KD,Wang B,Manjourides J,Suh HH",Environment international,2022,1,15
34933061,"Heavy metal pollution of soils and risk assessment in Houston, Texas following Hurricane Harvey.","Han I,Whitworth KW,Christensen B,Afshar M,An Han H,Rammah A,Oluwadairo T,Symanski E","Environmental pollution (Barking, Essex : 1987)",2022,3,1
34932429,Metal transfer and related human health risk assessment through milk from cattle grazing at an industrial discharge area.,"Sai Chaithanya M,Bhaskar D,Vidya R","Food additives & contaminants. Part A, Chemistry, analysis, control, exposure & risk assessment",2022,2,
34932337,Low-Concentration Air Pollution and Mortality in American Older Adults: A National Cohort Analysis (2001-2017).,"Shi L,Rosenberg A,Wang Y,Liu P,Danesh Yazdi M,Réquia W,Steenland K,Chang H,Sarnat JA,Wang W,Zhang K,Zhao J,Schwartz J",Environmental science & technology,2022,6,7
34931923,Bioinformatics and <i>in-silico</i> findings reveal medical features and pharmacological targets of biochanin A against colorectal cancer and COVID-19.,"Qin J,Guo C,Yang L,Liang X,Jiao A,Lai KP,Yang B",Bioengineered,2021,12,
34929281,Epidemiologic evidence of exposure to polycyclic aromatic hydrocarbons and breast cancer: A systematic review and meta-analysis.,"Gamboa-Loira B,López-Carrillo L,Mar-Sánchez Y,Stern D,Cebrián ME",Chemosphere,2022,3,
34928502,Exposure to black carbon is associated with dermographism: A population-based study in college students.,"Gu X,Li S,Xiao Y,Han X,Wu B,Wang X,Shan S,Zou B,Chen X,Shen M",The Australasian journal of dermatology,2022,2,
34928103,Sustainable Carbon Materials toward Emerging Applications.,"Lan G,Yang J,Ye RP,Boyjoo Y,Liang J,Liu X,Li Y,Liu J,Qian K",Small methods,2021,5,
34926970,Spatial Distribution of PM<sub>2.5</sub>-Related Premature Mortality in China.,"Zheng S,Schlink U,Ho KF,Singh RP,Pozzer A",GeoHealth,2021,12,
34922981,Human health risks associated with urban soils in mining areas.,"Parviainen A,Vázquez-Arias A,Arrebola JP,Martín-Peinado FJ",Environmental research,2022,4,15
34920185,Urban sediment pollutants alternate human cell essential behaviour through promoting oxidative damage.,"Lin MW,Huang HL,Yu XR,Lin YX,Li XA,Tsui L,Young SS,Chan HL,Chou HC",Ecotoxicology and environmental safety,2022,1,1
34916105,"Long-term environmental surveillance of PM2.5-bound polycyclic aromatic hydrocarbons in Jinan, China (2014-2020): Health risk assessment.","Yu Z,Wang H,Zhang X,Gong S,Liu Z,Zhao N,Zhang C,Xie X,Wang K,Liu Z,Wang JS,Zhao X,Zhou J",Journal of hazardous materials,2022,3,5
34915095,Dysregulation of fatty acid metabolism associated with esophageal inflammation of ICR mice induced by nitrosamines exposure.,"Zhang H,Zhao C,Liu Q,Zhang Y,Luo K,Pu Y,Yin L","Environmental pollution (Barking, Essex : 1987)",2022,3,15
34914980,Long-term PM<sub>2.5</sub> exposure and various health outcomes: An umbrella review of systematic reviews and meta-analyses of observational studies.,"Zang ST,Wu QJ,Li XY,Gao C,Liu YS,Jiang YT,Zhang JY,Sun H,Chang Q,Zhao YH",The Science of the total environment,2022,3,15
34912771,The First Attempt to Reevaluate Radon and Thoron Exposure in Gansu Province Study Using Radon-Thoron Discriminating Measurement Technique.,"Kudo H,Yoshinaga S,Li X,Lei S,Zhang S,Sun Q,Koriyama C,Akiba S,Tokonami S",Frontiers in public health,2021,,
34912233,"<i>Mmp12</i> Is Upregulated by <i>in utero</i> Second-Hand Smoke Exposures and Is a Key Factor Contributing to Aggravated Lung Responses in Adult Emphysema, Asthma, and Lung Cancer Mouse Models.","Noël A,Perveen Z,Xiao R,Hammond H,Le Donne V,Legendre K,Gartia MR,Sahu S,Paulsen DB,Penn AL",Frontiers in physiology,2021,,
34910997,Bisphenol A drives di(2-ethylhexyl) phthalate promoting thyroid tumorigenesis via regulating HDAC6/PTEN and c-MYC signaling.,"Zhang X,Guo N,Jin H,Liu R,Zhang Z,Cheng C,Fan Z,Zhang G,Xiao M,Wu S,Zhao Y,Lu X",Journal of hazardous materials,2022,3,5
34910457,Drivers of Disinfection Byproduct Cytotoxicity in U.S. Drinking Water: Should Other DBPs Be Considered for Regulation?,"Allen JM,Plewa MJ,Wagner ED,Wei X,Bokenkamp K,Hur K,Jia A,Liberatore HK,Lee CT,Shirkhani R,Krasner SW,Richardson SD",Environmental science & technology,2022,1,4
34908495,"Disparities in Air Pollution Exposure in the United States by Race/Ethnicity and Income, 1990-2010.","Liu J,Clark LP,Bechle MJ,Hajat A,Kim SY,Robinson AL,Sheppard L,Szpiro AA,Marshall JD",Environmental health perspectives,2021,12,
34906967,Air Pollution and Breast Cancer: An Examination of Modification By Underlying Familial Breast Cancer Risk.,"Niehoff NM,Terry MB,Bookwalter DB,Kaufman JD,O'Brien KM,Sandler DP,White AJ","Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",2022,2,
34905088,Role of microRNAs in response to cadmium chloride in pancreatic ductal adenocarcinoma.,"Mortoglou M,Buha Djordjevic A,Djordjevic V,Collins H,York L,Mani K,Valle E,Wallace D,Uysal-Onganer P",Archives of toxicology,2022,2,
34904215,Lead (Pb) exposure from outdoor air pollution: a potential risk factor for cervical intraepithelial neoplasia related to HPV genotypes.,"Zhang J,Nazeri SA,Sohrabi A",Environmental science and pollution research international,2022,4,
34902726,Characteristics of trace elements bound to ambient nanoparticles (PM<sub>0.1</sub>) and a health risk assessment in southern Thailand.,"Phairuang W,Inerb M,Hata M,Furuuchi M",Journal of hazardous materials,2022,3,5
34902409,"Diurnal variation and potential sources of indoor formaldehyde at elementary school, high school and university in the Centre Val de Loire region of France.","Hu D,Tobon Y,Agostini A,Grosselin B,Chen Y,Robin C,Yahyaoui A,Colin P,Mellouki A,Daële V",The Science of the total environment,2022,3,10
34902375,Seasonal and diurnal patterns of outdoor formaldehyde and impacts on indoor environments and health.,"Zhang H,Zheng Z,Yu T,Liu C,Qian H,Li J",Environmental research,2022,4,1
34900526,Personalized medicine of non-gene-specific chemotherapies for non-small cell lung cancer.,"Jiang W,Cai G,Hu P,Wang Y",Acta pharmaceutica Sinica. B,2021,11,
34900294,Bacteria bioaerosol in the indoor air of educational microenvironments: Measuring exposures and assessing health effects.,"Sadigh A,Fataei E,Arzanloo M,Imani AA",Journal of environmental health science & engineering,2021,12,
34900285,Environmental impact and human health risk assessment of polycyclic aromatic hydrocarbons (pahs) in raw milk from free-ranging cattles in northwest nigeria.,"Turaki Usman A,Abugu HO,Okoye COB",Journal of environmental health science & engineering,2021,12,
34900283,"Ecological and human health risks assessment of some polychlorinated biphenyls (PCBs) in surface soils of central and southern parts of city of Tehran, Iran.","Ranjbaran S,Sobhanardakani S,Cheraghi M,Lorestani B,Sadr MK",Journal of environmental health science & engineering,2021,12,
34896321,Predictors of urinary polycyclic aromatic hydrocarbon metabolites in girls from the San Francisco Bay Area.,"John EM,Koo J,Ingles SA,Keegan TH,Nguyen JT,Thomsen C,Terry MB,Santella RM,Nguyen K,Yan B",Environmental research,2022,4,1
34895312,Risk-focused differences in molecular processes implicated in SARS-CoV-2 infection: corollaries in DNA methylation and gene expression.,"Konwar C,Asiimwe R,Inkster AM,Merrill SM,Negri GL,Aristizabal MJ,Rider CF,MacIsaac JL,Carlsten C,Kobor MS",Epigenetics & chromatin,2021,12,11
34895129,Physiological and Pathophysiological Role of Cysteine Metabolism in Human Metabolic Syndrome.,"Muthuraman A,Ramesh M,Shaikh SA,Aswinprakash S,Jagadeesh D",Drug metabolism letters,2021,,
